,columns,missing values count
0,Wafer,0
1,Sensor - 1,1
2,Sensor - 2,1
3,Sensor - 3,12
4,Sensor - 4,12
5,Sensor - 5,12
6,Sensor - 6,12
7,Sensor - 7,12
8,Sensor - 8,7
9,Sensor - 9,2
10,Sensor - 10,2
11,Sensor - 11,2
12,Sensor - 12,2
13,Sensor - 13,2
14,Sensor - 14,3
15,Sensor - 15,3
16,Sensor - 16,3
17,Sensor - 17,3
18,Sensor - 18,3
19,Sensor - 19,3
20,Sensor - 20,0
21,Sensor - 21,0
22,Sensor - 22,0
23,Sensor - 23,0
24,Sensor - 24,0
25,Sensor - 25,0
26,Sensor - 26,0
27,Sensor - 27,0
28,Sensor - 28,0
29,Sensor - 29,0
30,Sensor - 30,0
31,Sensor - 31,0
32,Sensor - 32,0
33,Sensor - 33,0
34,Sensor - 34,0
35,Sensor - 35,0
36,Sensor - 36,0
37,Sensor - 37,0
38,Sensor - 38,0
39,Sensor - 39,0
40,Sensor - 40,0
41,Sensor - 41,11
42,Sensor - 42,11
43,Sensor - 43,0
44,Sensor - 44,0
45,Sensor - 45,0
46,Sensor - 46,0
47,Sensor - 47,0
48,Sensor - 48,0
49,Sensor - 49,0
50,Sensor - 50,0
51,Sensor - 51,0
52,Sensor - 52,0
53,Sensor - 53,0
54,Sensor - 54,1
55,Sensor - 55,1
56,Sensor - 56,1
57,Sensor - 57,1
58,Sensor - 58,1
59,Sensor - 59,1
60,Sensor - 60,3
61,Sensor - 61,3
62,Sensor - 62,3
63,Sensor - 63,3
64,Sensor - 64,3
65,Sensor - 65,3
66,Sensor - 66,3
67,Sensor - 67,3
68,Sensor - 68,3
69,Sensor - 69,3
70,Sensor - 70,3
71,Sensor - 71,3
72,Sensor - 72,3
73,Sensor - 73,359
74,Sensor - 74,359
75,Sensor - 75,3
76,Sensor - 76,24
77,Sensor - 77,24
78,Sensor - 78,24
79,Sensor - 79,24
80,Sensor - 80,24
81,Sensor - 81,24
82,Sensor - 82,24
83,Sensor - 83,24
84,Sensor - 84,1
85,Sensor - 85,0
86,Sensor - 86,385
87,Sensor - 87,0
88,Sensor - 88,0
89,Sensor - 89,0
90,Sensor - 90,42
91,Sensor - 91,42
92,Sensor - 92,1
93,Sensor - 93,1
94,Sensor - 94,1
95,Sensor - 95,1
96,Sensor - 96,1
97,Sensor - 97,1
98,Sensor - 98,1
99,Sensor - 99,1
100,Sensor - 100,1
101,Sensor - 101,1
102,Sensor - 102,1
103,Sensor - 103,1
104,Sensor - 104,1
105,Sensor - 105,1
106,Sensor - 106,1
107,Sensor - 107,1
108,Sensor - 108,1
109,Sensor - 109,1
110,Sensor - 110,159
111,Sensor - 111,159
112,Sensor - 112,159
113,Sensor - 113,365
114,Sensor - 114,0
115,Sensor - 115,0
116,Sensor - 116,0
117,Sensor - 117,0
118,Sensor - 118,0
119,Sensor - 119,24
120,Sensor - 120,0
121,Sensor - 121,0
122,Sensor - 122,3
123,Sensor - 123,3
124,Sensor - 124,3
125,Sensor - 125,3
126,Sensor - 126,3
127,Sensor - 127,3
128,Sensor - 128,3
129,Sensor - 129,3
130,Sensor - 130,3
131,Sensor - 131,3
132,Sensor - 132,3
133,Sensor - 133,3
134,Sensor - 134,3
135,Sensor - 135,3
136,Sensor - 136,0
137,Sensor - 137,1
138,Sensor - 138,1
139,Sensor - 139,12
140,Sensor - 140,12
141,Sensor - 141,12
142,Sensor - 142,12
143,Sensor - 143,12
144,Sensor - 144,7
145,Sensor - 145,2
146,Sensor - 146,2
147,Sensor - 147,2
148,Sensor - 148,2
149,Sensor - 149,2
150,Sensor - 150,3
151,Sensor - 151,3
152,Sensor - 152,3
153,Sensor - 153,3
154,Sensor - 154,3
155,Sensor - 155,3
156,Sensor - 156,0
157,Sensor - 157,0
158,Sensor - 158,495
159,Sensor - 159,495
160,Sensor - 160,0
161,Sensor - 161,0
162,Sensor - 162,0
163,Sensor - 163,0
164,Sensor - 164,0
165,Sensor - 165,0
166,Sensor - 166,0
167,Sensor - 167,0
168,Sensor - 168,0
169,Sensor - 169,0
170,Sensor - 170,0
171,Sensor - 171,0
172,Sensor - 172,0
173,Sensor - 173,0
174,Sensor - 174,0
175,Sensor - 175,0
176,Sensor - 176,0
177,Sensor - 177,0
178,Sensor - 178,0
179,Sensor - 179,11
180,Sensor - 180,0
181,Sensor - 181,0
182,Sensor - 182,0
183,Sensor - 183,0
184,Sensor - 184,0
185,Sensor - 185,0
186,Sensor - 186,0
187,Sensor - 187,0
188,Sensor - 188,0
189,Sensor - 189,0
190,Sensor - 190,0
191,Sensor - 191,1
192,Sensor - 192,1
193,Sensor - 193,1
194,Sensor - 194,1
195,Sensor - 195,1
196,Sensor - 196,1
197,Sensor - 197,3
198,Sensor - 198,3
199,Sensor - 199,3
200,Sensor - 200,3
201,Sensor - 201,3
202,Sensor - 202,3
203,Sensor - 203,3
204,Sensor - 204,3
205,Sensor - 205,3
206,Sensor - 206,3
207,Sensor - 207,3
208,Sensor - 208,3
209,Sensor - 209,3
210,Sensor - 210,3
211,Sensor - 211,24
212,Sensor - 212,24
213,Sensor - 213,24
214,Sensor - 214,24
215,Sensor - 215,24
216,Sensor - 216,24
217,Sensor - 217,24
218,Sensor - 218,24
219,Sensor - 219,1
220,Sensor - 220,0
221,Sensor - 221,385
222,Sensor - 222,0
223,Sensor - 223,0
224,Sensor - 224,0
225,Sensor - 225,42
226,Sensor - 226,42
227,Sensor - 227,1
228,Sensor - 228,1
229,Sensor - 229,1
230,Sensor - 230,1
231,Sensor - 231,1
232,Sensor - 232,1
233,Sensor - 233,1
234,Sensor - 234,1
235,Sensor - 235,1
236,Sensor - 236,1
237,Sensor - 237,1
238,Sensor - 238,1
239,Sensor - 239,1
240,Sensor - 240,1
241,Sensor - 241,1
242,Sensor - 242,1
243,Sensor - 243,1
244,Sensor - 244,1
245,Sensor - 245,159
246,Sensor - 246,159
247,Sensor - 247,159
248,Sensor - 248,365
249,Sensor - 249,0
250,Sensor - 250,0
251,Sensor - 251,0
252,Sensor - 252,0
253,Sensor - 253,0
254,Sensor - 254,24
255,Sensor - 255,0
256,Sensor - 256,0
257,Sensor - 257,3
258,Sensor - 258,3
259,Sensor - 259,3
260,Sensor - 260,3
261,Sensor - 261,3
262,Sensor - 262,3
263,Sensor - 263,3
264,Sensor - 264,3
265,Sensor - 265,3
266,Sensor - 266,3
267,Sensor - 267,3
268,Sensor - 268,3
269,Sensor - 269,3
270,Sensor - 270,3
271,Sensor - 271,0
272,Sensor - 272,1
273,Sensor - 273,1
274,Sensor - 274,12
275,Sensor - 275,12
276,Sensor - 276,12
277,Sensor - 277,12
278,Sensor - 278,12
279,Sensor - 279,7
280,Sensor - 280,2
281,Sensor - 281,2
282,Sensor - 282,2
283,Sensor - 283,2
284,Sensor - 284,2
285,Sensor - 285,3
286,Sensor - 286,3
287,Sensor - 287,3
288,Sensor - 288,3
289,Sensor - 289,3
290,Sensor - 290,3
291,Sensor - 291,0
292,Sensor - 292,0
293,Sensor - 293,495
294,Sensor - 294,495
295,Sensor - 295,0
296,Sensor - 296,0
297,Sensor - 297,0
298,Sensor - 298,0
299,Sensor - 299,0
300,Sensor - 300,0
301,Sensor - 301,0
302,Sensor - 302,0
303,Sensor - 303,0
304,Sensor - 304,0
305,Sensor - 305,0
306,Sensor - 306,0
307,Sensor - 307,0
308,Sensor - 308,0
309,Sensor - 309,0
310,Sensor - 310,0
311,Sensor - 311,0
312,Sensor - 312,0
313,Sensor - 313,0
314,Sensor - 314,11
315,Sensor - 315,11
316,Sensor - 316,0
317,Sensor - 317,0
318,Sensor - 318,0
319,Sensor - 319,0
320,Sensor - 320,0
321,Sensor - 321,0
322,Sensor - 322,0
323,Sensor - 323,0
324,Sensor - 324,0
325,Sensor - 325,0
326,Sensor - 326,0
327,Sensor - 327,1
328,Sensor - 328,1
329,Sensor - 329,1
330,Sensor - 330,1
331,Sensor - 331,1
332,Sensor - 332,1
333,Sensor - 333,3
334,Sensor - 334,3
335,Sensor - 335,3
336,Sensor - 336,3
337,Sensor - 337,3
338,Sensor - 338,3
339,Sensor - 339,3
340,Sensor - 340,3
341,Sensor - 341,3
342,Sensor - 342,3
343,Sensor - 343,3
344,Sensor - 344,3
345,Sensor - 345,3
346,Sensor - 346,359
347,Sensor - 347,359
348,Sensor - 348,3
349,Sensor - 349,24
350,Sensor - 350,24
351,Sensor - 351,24
352,Sensor - 352,24
353,Sensor - 353,24
354,Sensor - 354,24
355,Sensor - 355,24
356,Sensor - 356,24
357,Sensor - 357,1
358,Sensor - 358,0
359,Sensor - 359,385
360,Sensor - 360,0
361,Sensor - 361,0
362,Sensor - 362,0
363,Sensor - 363,42
364,Sensor - 364,42
365,Sensor - 365,1
366,Sensor - 366,1
367,Sensor - 367,1
368,Sensor - 368,1
369,Sensor - 369,1
370,Sensor - 370,1
371,Sensor - 371,1
372,Sensor - 372,1
373,Sensor - 373,1
374,Sensor - 374,1
375,Sensor - 375,1
376,Sensor - 376,1
377,Sensor - 377,1
378,Sensor - 378,1
379,Sensor - 379,1
380,Sensor - 380,1
381,Sensor - 381,1
382,Sensor - 382,1
383,Sensor - 383,159
384,Sensor - 384,159
385,Sensor - 385,159
386,Sensor - 386,365
387,Sensor - 387,0
388,Sensor - 388,0
389,Sensor - 389,0
390,Sensor - 390,0
391,Sensor - 391,0
392,Sensor - 392,24
393,Sensor - 393,0
394,Sensor - 394,0
395,Sensor - 395,3
396,Sensor - 396,3
397,Sensor - 397,3
398,Sensor - 398,3
399,Sensor - 399,3
400,Sensor - 400,3
401,Sensor - 401,3
402,Sensor - 402,3
403,Sensor - 403,3
404,Sensor - 404,3
405,Sensor - 405,3
406,Sensor - 406,3
407,Sensor - 407,3
408,Sensor - 408,3
409,Sensor - 409,0
410,Sensor - 410,1
411,Sensor - 411,1
412,Sensor - 412,12
413,Sensor - 413,12
414,Sensor - 414,12
415,Sensor - 415,12
416,Sensor - 416,12
417,Sensor - 417,7
418,Sensor - 418,2
419,Sensor - 419,2
